id,code,tag,name,existing_tag,intrasentence_relation,description
1,ashraya_01,adhikarana-abhivyapaka,अधिकरण-अभिव्यापक ,k7 (type of k7),कारक,
2,ashraya_02,adhikarana-aupashleshika,अधिकरण-औपश्लेषिक ,k7 (type of k7),कारक,
3,ashraya_03,adhikarana-samipya,अधिकरण-सामीप्य ,k7 (type of k7),कारक,
4,ashraya_04,apadana-viparinama,अपादन-विपरीणाम,k5 (type of k5),कारक,
5,ashraya_05,apadana (source of separation),अपादान (source of separation),k5,कारक,
6,ashraya_06,apadana-prakriti,अपादान-प्रकृति,k5 (type of k5),कारकेतर-नामपद-सम्बन्ध,
7,ashraya_07,apeksha,अपेक्षा,(related to उपपद),कारकेतर-नामपद-सम्बन्ध,
8,ashraya_08,upapada,उपपद,(related to अपेक्षा),कारकेतर-नामपद-सम्बन्ध,
9,ashraya_09,upamanam (analogy),उपमानम् (analogy),ku,कारकेतर-नामपद-सम्बन्ध,
10,ashraya_10,karanam (Instrument),करणम् (Instrument),k3,कारक,
11,ashraya_11,karta,कर्ता ,k1,कारक,
12,ashraya_12,karta-anubhavakarta,कर्ता-अनुभवकर्ता,k4a,कारक,
13,ashraya_13,karta-karakashashthi,कर्ता-कारकषष्ठी,r6-k1,कारक,
14,ashraya_14,karta-prayojaka,कर्ता-प्रयोजक ,pk1,कारक,
15,ashraya_15,karta-prayojya (causative agent),कर्ता-प्रयोज्य (causative agent),jk1 ,कारक,
16,ashraya_16,karta-madhyastha,कर्ता-मध्यस्थ,mk1,कारक,
17,ashraya_17,karta-samanadhikaranam,कर्ता-समानाधिकरणम्,nmod_emph,कारक,
18,ashraya_18,karma,कर्म,k2,कारक,
19,ashraya_19,karma-karakashashthi,कर्म-कारकषष्ठी ,r6-k2,कारक,
20,ashraya_20,karma-gatikarma,कर्म-गतिकर्म,k2p,कारक,
21,ashraya_21,karma-gaunakarma,कर्म-गौणकर्म,k2g,कारक,
22,ashraya_22,kriya-yaugika ,क्रिया-यौगिक ,pof_cv,क्रिया-सम्बन्ध,
