tag_id,language_id,verbal,example,iso_transliteration,case,sanskrit_translation,english_translation,gender_marking,is_part_of_tam
1,2,"करनेवाला, कर्ता (__ने वाला)
---
_ने वाला","दीपक इस काम को करने वाला है।
दीपक इस काम का कर्ता है।
---
करने वाला, कर्ता
कृष्ण सब जानने वाला है।/ कृष्ण सब ज्ञाता है।","dīpaka yaha kāma karanē vālā hai.
---
kr̥ṣṇa sabakō jānanē vālā hai./ kr̥ṣṇa sabakā jñātā hai.","[दीपक-0] [इस-0] [काम_को][कर _ने वाला-कृदन्त-m.s] [है-present]
---
[कृष्ण-0] [सब-0][जान_ने वाला-कृदन्त m.s.] [है-aux-present]","[दीपक-सुप१.१] [इदम्-सुप ६.१] [कार्य-सुप् ६.१] कारक-कृदन्त-सुप् पु.१.१] [अस-लट्३.१]
---
[कृष्ण १.१] [सर्व ६.१] [ज्ञाता १.१] [अस् -लट् ३.१]","[Deepak] [this] [work] [doer] [is].
---
[Krishna] [all] [knower] [is]","m. करनेवाला pl. करनेवाले
f. करनेवाली
n. करनेवाले
---
m. करनेवाला pl. करनेवाले
f. करनेवाली
n. करनेवाले","No
---
---"
1,3,"ಮಾಡುವವನು
---
ಮಾಡುವವನು / ತಿಳಿದುಕೊಂಡವನು","ಮಾಡುವವನು = ದೀಪಕನು ಈ ಕೆಲಸವನ್ನು ಮಾಡುವವನಾಗಿದ್ದಾನೆ.
---
ಮಾಡುವವನು / ತಿಳಿದುಕೊಂಡವನು ಕೃಷ್ಣನು ಎಲ್ಲರನ್ನು ತಿಳಿದುಕೊಂಡವನಾಗಿದ್ದಾನೆ. Krishna is the one who understands everyone. ಕೃಷ್ಣನು ಎಲ್ಲರನ್ನು ರಕ್ಷಿಸುವವನಾಗಿದ್ದಾನೆ. Krishna is the one who protects everyone.","māḍuvavanu = ivanu ī kelasavannu
---
tiḷidukoṁḍavanu kr̥ṣṇanu ellarannu tiḷidukoṁḍavanāgiddāne.
kr̥ṣṇanu ellarannu rakṣisuvavanāgiddāne.","
---
—","[दीपक-सुप१.१] [इदम्-सुप ६.१] [कार्य-सुप् ६.१] कारक-कृदन्त-सुप् पु.१.१] [अस-लट्३.१]
---
---","[doer] [he] [this] [work] [is]
---
[Krishna][all] [knower] [is]","---
---
","---
---
---"
1,1,"ण्वुल्
---
तृच्","अस्य कार्यस्य कारकः दीपकः अस्ति।
---
कर्ता, कर्त्री, ज्ञाता
कृष्णः सर्वस्य ज्ञाता अस्ति।","asya kāryasya kārakaḥ dīpakaḥ asti.
---
kr̥ṣṇaḥ sarvasya jñātā asti.","[इदम्-सुप ६.१] [कार्य-सुप् ६.१] [कारक-कृदन्त-सुप् पु.१.१] [दीपक-सुप१.१] [अस-लट्३.१]
---
—","
---
---","[this] [work] [doer] [Deepak] [is]
---
[Krishna] [all] [knower] [is]","m. कारकः/ f. कारिका/ n. कारकम्
---
m. कर्ता, f.. कर्त्री","No
---
---"
2,2,"किया, की","किया, की
राम ने काम किया।
राम ने पुस्तक खरीदी।","rāma nē kāma kiyā.
rāma nē pustaka kharīdī.",[राम_ने] [काम] [किया],[राम १.१] [कार्य २.१] [कृ+क्तवतु+सुप् पुं १.१],[Rama] [work] [did],m. किया,---
2,3,"ಮಾಡಿದನು, ಮಾಡಿದಳು, ಮಾಡಿತು","ಮಾಡಿದನು, ಮಾಡಿದಳು, ಮಾಡಿತು
ರಾಮನು ಕಾರ್ಯವನ್ನು ಮಾಡಿದನು. Rama did the work.
ಪರಿಮಳಾ ಅಡುಗೆಯನ್ನು ಮಾಡಿದಳು.. Parimala cooked the food.
ಅಳಿಲು ಸೇವೆಯನ್ನು ಮಾಡಿತು . Squirrel helped.","rāmanu kāryavannu māḍidanu. Rama did the work.
parimaḷā aḍugeyannu māḍidaḷu.. Parimala cooked the food.
aḷilu sēveyannu māḍitu . Squirrel helped.",,,[Rama] [work] [did],,---
2,1,"क्तवतु
कृतवान्, कृतवती, कृतवत्","कृतवान्, कृतवती, कृतवत्
रामः कार्यं कृतवान्।
रामः पुस्तकं क्रीतवान्।","rāmaḥ kāryaṁ kr̥tavān.
rāmaḥ pustakaṁ krītavān.",[राम १.१] [कार्य २.१] [कृ+क्तवतु+सुप् पुं १.१],,[Rama] [work] [did],"m. कृतवान्, f. कृतवती, n. कृतवत्",---
3,2,"की गई, किया गया","की गई, किया गया
राम से काम किया गया। / राम के द्वारा काम किया गया।",rāma sē kāma kiyā gayā. / rāma kē dvārā kāma kiyā gayā.,[राम_से] [काम] [किया] [गया],[राम ३.१] [कार्य १.१] [कृ + क्त + नपुं १.१],[Rama] [work] [did],---,---
3,3,ಮಾಡಿದ,"ಮಾಡಿದ
ರಾಮನು ಈ ಕೆಲಸವನ್ನು ಮಾಡಿದಾನೆ.
ಸೀತೆಯು ಅಡುಗೆಯನ್ನು ಮಾಡಿದಳು. Seetha cooked the food.","rāmanu ī kelasavannu māḍidāne.
sīteyu aḍugeyannu māḍidaḷu. Seetha cooked the food.",,,"[Rama] [work] [did]
[Seetha] [food] [cook]",---,---
3,1,"क्त
कृतः, कृता, कृतम्","कृतः, कृता, कृतम्
रामेण कार्यं कृतम्।",rāmēṇa kāryaṁ kr̥tam.,[राम ३.१] [कार्य १.१] [कृ + क्त + सुप् नपुं १.१],,,---,---
4,2,"कृति, क्रिया, काम
---
करना, जाना (ना)","कृति, क्रिया, काम
लक्ष्मण की कृति है।
---
करना, जाना (ना)
राम का सोचना है कि कृष्ण पुस्तक पढ़े।","lakṣmaṇa kī kr̥ti hai.
---
rāma kā sōcanā hai ki kr̥ṣṇa pustaka paṛhē.","[लक्ष्मण_की] [कृति] [है]
---
[राम_का] [सोचना] [है] [कि] [कृष्ण] [पुस्तक] [पढ़े]","[लक्ष्मण ६.१] [कृ+क्तिन्+सुप् स्त्री १.१] [अस्+तिप् लट्-प्र-एक]
---
[राम ६.१] [चित्+ल्युट् - नपुं १.१] [अस्+तिप् - लट्-प्र-एक] [यत् - अव्य] [कृष्ण १.१] [पुस्तक २.१] [पठ् + तिप् - विधिलिङ्-प्र-एक]","[Lakshmana] [work] [there] [is]
---
[Rama] [thinks][Krishna] [read][books]","---
---
---","---
---
---"
