tag_id,language_id,example,iso_transliteration,accuracy,sanskrit_translation,english_translation,markers
1,1,तिलेषु तैलम्,tilēṣu tailam,,,,
1,2,घर मे बैठा है।,ghara mē baiṭhā hai.,,,,
1,3,ಮನೆಯಲ್ಲಿ ಕುಳಿತಿದ್ದಾನೆ,maneyalli kuḷitiddāne,,,,
2,1,कटे आस्ते,kaṭē āstē,,,,
2,2,छत पर बैठा है।,chata para baiṭhā hai.,,,,
2,3,ಕೋಲ್ಕತ್ತಾದಲ್ಲಿರುವ ಪ್ರಸಿದ್ಧ ಕಾಳಿಮಾತೆಯ ದೇವಾಲಯವು ತುಂಬಾ ಭವ್ಯವಾಗಿದೆ,Kōlkattādalliruva prasiddha kāḷi\_māteya dēvālayavu tuṁbā bhavyavāgide.,,,,
3,1,गङ्गायां घोषः।,gaṅgāyāṁ ghōṣaḥ.,,,,
3,2,,,,,,
3,3,,,,,,
4,1,दुग्घात् दधिः।,dugghāt dadhiḥ.,,,,
4,2,दूध से दही।,dūdha sē dahī.,,,,
4,3,ಹಾಲಿನಿಂದ ಮೊಸರಾಗಿದೆ.,hāliniṁda mosarāgide.,,,,
5,1,वृक्षात् पर्णं पतति।,vr̥kṣāt parṇaṁ patati.,,,,
5,2,"गोपाल शर्मा ने बताया कि अहमदाबाद में मारा गया आतंकी बाबर , [घाटी से] ही वहां भेजा गया था ।
word: घाटी        head: भेजा","gōpāla śarmā nē batāyā ki ahamadābāda mēṁ mārā gayā ātaṁkī bābara , [ghāṭī sē] hī vahāṁ bhējā gayā thā .
word: ghāṭī head: bhējā","Training support - 1183
Test support - 166
Accuracy - 62.65",,,
5,3,"ವೃಕ್ಷದಿಂದ ಎಲೆಯು ಬೀಳುತ್ತದೆ. ವೃಕ್ಷದಿಂದ - from the tree.  Vr̥kṣadinda eleyu bīḷuttade. Vr̥kṣadinda - from the tree.
","vr̥kṣadiṁda eleyu bīḷuttade. vr̥kṣadiṁda - from the tree. Vr̥kṣadinda eleyu bīḷuttade. Vr̥kṣadinda - from the tree.
","Training support -
Test support -
Accuracy - ",,,
6,1,"मृदः घटः।
शृङ्गात् शरः।
गोमयात् वृश्चिकः।","mr̥daḥ ghaṭaḥ.
śr̥ṅgāt śaraḥ.
gōmayāt vr̥ścikaḥ.",,,,
6,2,[चमडे से] बनी चप्पल।,[camaḍē sē] banī cappala.,,,,
6,3,ಮಣ್ಣಿನಿಂದ ಮಡಿಕೆಯು ಆಗಿದೆ. ,maṇṇiniṁda maḍikeyu āgide.,,,,
7,1,रामेण सीता वनं गच्छति।,rāmēṇa sītā vanaṁ gacchati.,,,,
7,2,,,,,,
7,3,,,,,,
8,1,रामेण सह सीता वनं गच्छति।,rāmēṇa saha sītā vanaṁ gacchati.,,,,
8,2,"राम के साथ सीता वन में गई।
राम संग सीता वन गई।","rāma kē sātha sītā vana mēṁ gaī.
rāma saṁga sītā vana gaī.",,,,
8,3,,,,,,
9,1,चन्द्रम् इव मुखं पश्य। चन्द्रं --> इव--> मुखं -- >पश्य ; चन्द्रम् --इव सुन्दरं --->मुखं OR पश्य चन्द्र--- इव-->सुन्दर-->मुख--,candram iva mukhaṁ paśya. candraṁ --> iva--> mukhaṁ -- >paśya ; candram --iva sundaraṁ --->mukhaṁ or paśya candra--- iva-->sundara-->mukha--,,,,
9,2,"पुलिस कमिश्नर ने दोहराया कि हमले का तौर तरीका अल कायदा आतंकियों जैसा ही है ।
word: आतंकियों        head: है","pulisa kamiśnara nē dōharāyā ki hamalē kā taura tarīkā ala kāyadā ātaṁkiyōṁ jaisā hī hai .
word: ātaṁkiyōṁ head: hai","Training support -
Test support -
Accuracy - ",,,
9,3,"ಚಂದ್ರನ ಹಾಗೆ ಇರುವ ಮುಖವನ್ನು ನೋಡು. ಚಂದ್ರನ ಹಾಗೆ- like chandra                                                                  Candrana hāge iruva mukhavannu nōḍu. Candrana hāge- like chandra
","caṁdrana hāge iruva mukhavannu nōḍu. caṁdrana hāge- like chandra Candrana hāge iruva mukhavannu nōḍu. Candrana hāge- like chandra
",,,,
10,1,बालः कुञ्चिकया तालम् उद्घाटयति। ,bālaḥ kuñcikayā tālam udghāṭayati.,,,,
10,2,"हिमाचल प्रदेश में भी लाहौल , स्पीति और पिन बर्फ की सफेद चादर से ढके हुए हैं ।
word: चादर        head: ढके","himācala pradēśa mēṁ bhī lāhaula , spīti aura pina barpha kī saphēda cādara sē ḍhakē huē haiṁ .
word: cādara head: ḍhakē","Training support - 522
Test support - 63
Accuracy - 25.4",,,
