tag_id,language_id,example,iso_transliteration,sanskrit_translation,english_translation,markers
1,1,,,,,
1,2,"लडका, राजा, किताब","laḍakā, rājā, kitāba",,,
1,3,,,,,
2,1,,,,,
2,2,"किताब, कलम, चष्मा","kitāba, kalama, caṣmā",,,
2,3,,,,,
3,1,,,,,
3,2,"मोहन, रवि, रश्मि","mōhana, ravi, raśmi",,,
3,3,"ಮಂಗಳೂರು, ಜೂನಿನಲ್ಲ, ಲಕ್ಷ್","maṁgaḷūru, jūninalla, lakṣ",,,
4,1,,,,,
4,2,"ऊपर, नीचे, आगे, पीछे","ūpara, nīcē, āgē, pīchē",,,
4,3,,,,,
5,1,,,,,
5,2,"यहाँ, वहाँ, जो","yahām̐, vahām̐, jō",,,
5,3,,,,,
6,1,,,,,
6,2,"कौन, कब, कहाँ","kauna, kaba, kahām̐",,,
6,3,"ಏನಾದರೂ, ಏನೊ, ಯಾರಿಗೆ","ēnādarū, ēno, yārige",,,
7,1,,,,,
7,2,"किस, कौन","kisa, kauna",,,
7,3,"ಯಾವಾಗ,ಏನು,ಯಾವುವೂ","yāvāga,ēnu,yāvuvū",,,
8,1,,,,,
8,2,"गिरा, गया, हसता, है, रहा","girā, gayā, hasatā, hai, rahā",,,
8,3,,,,,
9,1,,,,,
9,2,,,,,
9,3,"ಗಮನಿಸಿ,ಕೈಗೊಳ್ಳಲಾಗಿದೆ,ಆಗುವುದು,","gamanisi,kaigoḷḷalāgide,āguvudu,",,,
10,1,,,,,
10,2,,,,,
10,3,"ಅಂದರೆ,ಹೇಳಲಾಗಿದ್ದು,ಬಯಸಿದ","aṁdare,hēḷalāgiddu,bayasida",,,
11,1,,,,,
11,2,,,,,
11,3,"ಪರಿಗಣಿಸಲು, ತುಳಿಯಲು,ಮುಗಿಯಲು,","parigaṇisalu, tuḷiyalu,mugiyalu,",,,
12,1,,,,,
12,2,,,,,
12,3,"ಸುರಿಯುವುದು,ಸೇರಿದವರು,ಬರುವುದು","suriyuvudu,sēridavaru,baruvudu",,,
13,1,,,,,
13,2,,,,,
13,3,,,,,
14,1,,,,,
14,2,,,,,
14,3,,,,,
15,1,,,,,
15,2,,,,,
15,3,,,,,
16,1,,,,,
