tag_id,language_id,pattern,example,iso_transliteration,sanskrit_translation,english_translation,gender_marking,syntactic_condition
1,1,m. तत्रभवान् f. तत्रभवती  गच्छतु।   m.अत्रभवान् f.अत्रभवती,अत्रभवती  उपविशतु। ,atrabhavatī upaviśatu.,"You sit here, please!",,,
1,2,,,,,,,
1,3,,,,,,,
2,1,त्वं + लोट्,"त्वं खाद/खादतात्,।
त्वं पिब/पिबतात्|, 
त्वं स्वपिहि/स्वपितात्|, 
त्वं एहि|","tvaṁ khāda/khādatāt,.
tvaṁ piba/pibatāt|,
tvaṁ svapihi/svapitāt|,
tvaṁ ēhi|","You eat. 
You drink.
You sleep.
You come.",,,
2,2,"तू खा/पी,/सो/भाग।",तू फल खा। तू पानी पी।,tū phala khā. tū pānī pī.,,,,
2,3,,ನೀನು ಹಣ್ಣು ತಿನ್ನು. ನೀನು ನೀರು ಕುಡಿ.,,,,,
3,1,,"भवान् अपि गच्छतु/ 
भवान् एव गच्छतु। 
भवान् मा गच्छतु।
त्वया न गन्तव्यम्। ","bhavān api gacchatu/
bhavān ēva gacchatu.
bhavān mā gacchatu.
tvayā na gantavyam. ","You also go.
You only go.
You dont go.
You should not go.",,,use of Imperative or potential with अपि/एव or मा/न in negation.
3,2," The imperfective participle + present tense form of होना in the third person plural can indicate an exhortation. The Hindi hortative form
attaches suffix ते to the verb.

जाते हैं – “Let’s go”

खाते हैं – “Let’s eat”",हम चलते रहेंगे । वे आएंगे । हम जाते/चलते है वे आयेंगे। ,hama calatē rahēṁgē . vē āēṁgē . hama jātē/calatē hai vē āyēṁgē.,,,,
3,3,"the hortative adds -ōṇa, as in māḍ-ōṇa ‘let us do, make","ನಾವು ಹೋಗುತ್ತಿರೋಣ, ಅವರು ಬರುತ್ತಾರೆ.
",nāvu prati varṣa namma haḷḷige hōguttēve. avaḷu kathe bareyuttāḷe. avanu kavana racisu ttāne.,,"Let us keep going, they will come.",,
4,1,"Adverbs/अव्यय + लकार लोट्? Root+प्रत्ययः (य/तव्य/अनीयर्) कर्तव्यम्. वक्तव्यम्, करणीयम्, गेयम्, पेयम्।",मया सत्वरम्/अतिशीघ्रं देहलीनगरीम् गन्तव्यम्।,mayā atiśīghraṁ dēhalīnagarīm gantavyam.,I have to go the Delhi urgently.,,,
4,2,"Based on English translation मुझे/तुम्हे/ तुम को/उसको/उन्हे+ present tense, मुझे/तुम्हे/ तुम को/उसको/उन्हे+ compulsive ",Based on English translation of Kannada sentences मुझे तुरंत दिल्ली जाना है। मुझे तुरंत दिल्ली जाना पडा।     मुझे बहुत काम करना है। ,based on english translation of kannada sentences mujhē turaṁta dillī jānā hai. mujhē turaṁta dillī jānā paḍā. mujhē bahuta kāma karanā hai.,,,,
4,3,suffix – beku/agu/iru,"ನಾನು ಜರೂರ ಬೆಂಗಳೂರಿಗೆ ಹೋಗಬೇಕು.
ನನಗೆ ತುಂಬಾ ಕೆಲಸ ಇದೆ.
ನಿಮ್ಮ ಆರೋಗ್ಯ ಕುರಿತು ಖಂಡಿತ ಪತ್ರ ಬರೆಯಬೇಕು.

","nānu baruva varege nīnu kāyi, ārya mādhava, nānu baruva tanaka ī chāyāgrahaṇavannu hiḍiduko.",,"I have to go the Delhi urgently.
I have lot of work.
Please write a letter regarding your health immediately.",,
5,1,"तुमुन् - Verbs meaning desire like इच्छति, काङ्क्षे or 
 verbs formed with the  सन्  suffix 
(possible in all लकारs)","अहं गन्तुम् इच्छामि। 
सः प्रष्टुम् इच्छति। 
अहं जिगमिषामि। (सन्नन्तः)","ahaṁ gantum icchāmi.
saḥ praṣṭum icchati.
ahaṁ jigamiṣāmi. (sannantaḥ)","I want to go.
He wants to ask.
I want to go.",,,
5,2,Modal verbs of desire इच्छा करना। चाहना।,वो आना चाहता है।,vō ānā cāhatā hai.,,,,
5,3,,ಅವರು ಬರಲು ಬಯಸುತ್ತಾರೆ.,sūrya udayisuttiddāne. avanu haṇṇu tinnuttiddāne. nīru tuṁbuttide. maḷe baruttide.,,,,
6,1,,"रामेण पायसस्य खादनम् आपतितम्।
रामस्य  पायस-खादनम् आपतितम्। ","rāmēṇa pāyasasya khādanam āpatitam.
rāmasya pāyasa-khādanam āpatitam. ",Ram had to eat the kheer.,,,
6,2,"karta with postposition को verb with siffix ना_पडा(compulsive, past) ना_होगा(compulsive future) karta with postposition को verb with siffix ना_पडा(compulsive, past) ना_होगा(compulsive future)",आपको/तुम्हे करना पडेगा। मुझे पढना पडेगा। राम को खीर खानी पडी। ,āpakō/tumhē karanā paḍēgā. mujhē paḍhanā paḍēgā. rāma kō khīra khānī paḍī.,,,,
6,3,"bēku (needed) is added to the infinitive. To make it more obligatory, the verbal forms like ē is added to another affirmative verb. For example, māḍabēku means that ‘it is necessary to do’, ‘it needs to be done’. nīnu ōdabēku means that ‘you are needed to study’, ‘it is necessary for you to study’.  āgabēku is also added to the adverbial participle to give obligatory meaning.
","ನೀವು/ನೀವು ಮಾಡಬೇಕು. ನಾನು ಓದಬೇಕು ರಾಮನಿಗೆ ಖೀರ್ ತಿನ್ನಬೇಕಾಯಿತು.ನೀನು ಮಾಡಬೇಕು       
ಅವರು ಬರಬೇಕು        
ಅವಳು ಓದಬೇಕು        
ನಾನು ಓದಲೇಬೇಕು       
ನೀನು ಬರಲೇಬೇಕು        
ನೀವು ಹೋಗಲೇಬೇಕು        
ನಾನು ತಿನ್ನಲೇಬೇಕು        
ನಾನು ಓದಿ ಆಗಬೇಕು       ","aṁgaḍigaḷu muccirabahudu.""",," It is necessary for you to do / You should do.
They should come.
She should read.
I must read.
You must come.
You (pl.) go.
I must eat.
 I must read",,
7,1,"लिङ्  प्रायः/सम्भवतः/प्रायशः etc. + लट्?  प्रायः+लट्/लृट्ते, शतृ-शानच् Aux verb अस् in लट्/लृट्/लिङ् "," तेन कृतं स्यात्/ 
सः कृतवान् स्यात्। 
प्रायः सः गच्छति/गमिष्यति।"," tēna kr̥taṁ syāt/
saḥ kr̥tavān syāt.
prāyaḥ saḥ gacchati/gamiṣyati.",He must have done.,,,
7,2,"होगा, होगी, होंगे","वह अभी पढ़ रहा होगा ।
He must be studying now. / He is probably studying now.","vaha abhī paṛha rahā hōgā .
he must be studying now. / he is probably studying now.",,,,
7,3,,ಅವನು ಈಗ ಓದುತ್ತಿರಬಹುದು.,avaru beḷagginiṁdalē kelasa māḍtiddāre.,,,,
8,1,त्वम्/भवान्/भवती + खादतु/खादतात्/भवन्तः/भवत्यः खादन्तु,त्वं फलं खाद।,tvaṁ phalaṁ khāda.,You eat a fruit.,,,
8,2,"तुम +खाओ, पीओ, सोओ",तुम फल खाओ। तुम पानी पियो/पिओ।,tuma phala khāō. tuma pānī piyō/piō.,,,,
8,3,"Imperative- The plural is also used as the honorific singular. The final u of the verbal base is dropped in plural and replaced by i. ri is also added to express more honor or politeness. When ri is added to the i or e ending verbs, yi comes as a glide between the verbal base and the suffixes.",ನೀವು ಹಣ್ಣು ತಿನ್ನು. ನೀನು ನೀರು ಕುಡಿ. ,avanu nāḍiddu śālege hōguttāne.,,,,
9,1,लिङ् (क्त + अस in लिङ्),"लोकयानं/बसयानं न लब्धं / प्राप्तं  स्यात्। 
आपणाः पीहिताः स्युः","āpaṇāḥ pīhitāḥ syuḥ
lōkayānaṁ/basayānaṁ na labdhaṁ / prāptaṁ syāt.
",Shops might be close.,,,
9,2,"हुआ होगा, गया होगा, ","बस छूट गई होगी।
तू गया होगा।
दुकानें बंद हो चुकी होगी।","basa chūṭa gaī hōgī.
tū gayā hōgā.
dukānēṁ baṁda hō cukī hōgī.",,,,
9,3,,"ಬಸ್ಸು ತಪ್ಪಿಹೋಗಿರಬಹುದು.
ನೀನು ಹೋಗಿರಬಹುದು.
ಅಂಗಡಿಗಳು ಮುಚ್ಚಿರಬಹುದು.",avanu ōdiddanu.,,,,
10,1,"लकार/क्तान्त +  किम्, अपि at the beginning of the sentence, वा न वेति,  वा, किल, ननु etc - mostly at the end of the sentence","बालाः आगताः नु। 
किं फलं मधुरम् अस्ति।","bālāḥ āgatāḥ nu.
kiṁ phalaṁ madhuram asti.","Kids have come,",,,
10,2,"प्रश्न is not marked on verb. Instead, the Adverb ना is used at the end of the sentence to form a yes/no type question or interrogative क्या is added to the sentence",बच्चे आये ना? क्या बच्चे आये? वह बहुत बात करता है ना? क्या वह बहोत बात करता है।,baccē āyē nā? kyā baccē āyē? vaha bahuta bāta karatā hai nā? kyā vaha bahōta bāta karatā hai.,,,,
10,3,"clitic –a/na @annarao ji
makkaLu ba -nd -ar -aa?
 children come -Pst. -3pl. -Q
 ‘Did the children come?’","ಮಕ್ಕಳು ಬಂದರು ಅಲ್ಲವೆ ? 
ಮಕ್ಕಳು ಬಂದರಾ? 
ಅವನು ತುಂಬಾ ಮಾತನಾಡುತ್ತಾನೆ ಅಲ್ಲವೇ? 
ಅವನು ತುಂಬಾ ಮಾತನಾಡುತ್ತಾನೆಯೇ?
",nīnu hōgirabahudu.,,,,
11,1,लुट्,सः परश्वः विद्यालयं गन्ता ।,saḥ paraśvaḥ vidyālayaṁ gantā .,,He may go to school tomorrow.,,
11,2,-गा,वह परसों विद्यालय जायेगा ।,vaha parasōṁ vidyālaya jāyēgā .,,,,
11,3,,ಅವನು ನಾಡಿದ್ದು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ.,nāvu āḍidevu We played,,,,
12,1,,"श्वः वृष्टिः भविष्यति। 
अग्रिमवर्षे अहम् भारतदेशं गमिष्यामि।","śvaḥ vr̥ṣṭiḥ bhaviṣyati. 
agrimavarṣē aham bhāratadēśaṁ gamiṣyāmi.",Tomorrow it might rain.,,,
12,2,"(m. sing)-गा/(f.sing, plu)गी/(plu)गे","""कल  बारिश होगी | “It will rain tomorrow.
अगले साल, मैं भारत जाऊँगा | “I will go to India next year.”""","""kala bāriśa hōgī . “it will rain tomorrow.
agalē sāla, maiṁ bhārata jāūm̐gā . “i will go to india next year.”""",,,,
12,3,,ನಾಳೆ ಮಳೆಯಾಗುತ್ತದೆ.,nīnu āḍide You played (singular),,,,
13,1,"Future- सः/सा/तत् भविष्यति (3s),  ते/ताः/तानि भविष्यन्ति (3s pl), त्वं भविष्यसि  (2n si), यूयं भविष्यथ (2n pl), अहं भविष्यामि (1s si), वयं भविष्यामः (1s pl) ",अत्र वर्षा भविष्यति,atra varṣā bhaviṣyati,It will rain here.,,,
13,2,"Future -होगा, होगी, होगे, होंगे वो होगा, वे होंगे। हम होंगे, आप होंगे। तुम होगे। तुम होगी।",यहाँ बारिश होगी।,yahām̐ bāriśa hōgī.,,,,
13,3,,ಇಲ್ಲಿ ಮಳೆ ಆಗುತ್ತದೆ.,"avaru pustakavannu ōdiddaru""""""",,,,
14,1, शतृ+ लङ्/लुङ्/ ,यावद् अहम बालकः आसम् तावद् जनाः अवकाशार्थं शिमलानगरीं गच्छन्ति स्म अधुना तु मसूरीनगरीं गच्छन्ति। पुरा सर्वे बालाः क्रीडाङ्गणे क्रीडन्ति स्म अधुना तु सङगणके क्रीडन्ति।,yāvad ahama bālakaḥ āsam tāvad janāḥ avakāśārthaṁ śimalānagarīṁ gacchanti sma adhunā tu masūrīnagarīṁ gacchanti. purā sarvē bālāḥ krīḍāṅgaṇē krīḍanti sma adhunā tu saṅagaṇakē krīḍanti.,,,,"The Kannada word for durative is ಪ್ರವಹಿಸುತ್ತಿರುವ (pravahisuthuva). It is a verb form that expresses a continuous action. It is formed by adding the suffix -isuthuva to the root verb. For example, the verb ಕುಡಿಯುವ (kudiyuva) means ""to drink,"" and the durative form of this verb is ಕುಡಿಯುತ್ತಿರುವ (kudiyisuthuva), which means ""to be drinking.""

Here are some other examples of durative verbs in Kannada:

    ಓದುತ್ತಿರುವ (odayisuthuva) - to be reading
    ಬರೆಯುತ್ತಿರುವ (bareyisuthuva) - to be writing
    ಹಾಡುತ್ತಿರುವ (haadisuthuva) - to be singing
    ನಡೆಯುತ್ತಿರುವ (nadeyisuthuva) - to be walking
    ತೆರೆಯುತ್ತಿರುವ (tereyisuthuva) - to be opening

Durative verbs are often used to describe actions that are in progress or that happen over a period of time. They can also be used to describe actions that are repeated or habitual. "
14,2,रहा था/रही थी/रहे थे,जब मै बच्चा था/बच्ची थी ... लोग छुट्टी के लिए शिमला जाया करते थे आजकल मसूरी जाते है। .... सब बच्चे मैदान में खेलते थे आजकल कम्प्यूटर पे खेलते है। ,jaba mai baccā thā/baccī thī ... lōga chuṭṭī kē liē śimalā jāyā karatē thē ājakala masūrī jātē hai. .... saba baccē maidāna mēṁ khēlatē thē ājakala kampyūṭara pē khēlatē hai.,,,,
14,3,,"ನಾನು ಚಿಕ್ಕವನು/ಮಗು ಇದ್ದಾಗ... ಜನರು ರಜೆಗೆ ಶಿಮ್ಲಾಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದವರು ಈಗ ಮಸ್ಸೂರಿಗೆ ಹೋಗುತ್ತಾರೆ. .... ಎಲ್ಲಾ ಮಕ್ಕಳು ಮೈದಾನದಲ್ಲಿ ಆಡುತ್ತಿದ್ದರು, ಇಂದಿನ ದಿನಗಳಲ್ಲಿ ಕಂಪ್ಯೂಟರ್ನಲ್ಲಿ ಆಡುತ್ತಾರೆ.",,,,,
15,1,,सः पठन् आसीत्।,saḥ paṭhan āsīt.,,,,
